character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Fox,2,526,1,11695,5,23.6,0.3,0.8,39,38,6,12
Marth,0,493,1,7031,3.3,35.6,0.6,0.7,30,8,5,9
Fox,1,548,0,10238,8,13.9,0.5,0.5,24,45,7,6
Fox,1,418,1,7844,3,30.5,0.5,0.7,31,12,7,6
Fox,0,475,1,12420,7.3,14.3,0.4,0.4,24,11,8,16
Fox,0,502,0,7206,4.7,14.8,0.5,0.4,39,31,5,1
Marth,2,485,1,7266,4.3,19.7,0.7,0.6,16,22,5,11
Marth,1,499,0,10331,7.5,15.5,0.3,0.5,57,21,12,11
Falco,0,505,1,11371,6.3,16,0.7,0.6,30,52,3,3
Fox,3,258,0,11346,8.5,18.6,0.3,0.5,6,6,6,5
Jigglypuff,0,329,0,5846,2.7,19.6,0.3,0.5,12,4,1,7
Marth,0,463,1,10587,6.8,17.2,0.6,0.5,24,32,19,11
Fox,0,411,0,8573,5.3,21.5,0.3,0.5,35,14,5,11
Fox,0,469,0,9276,8.5,21.3,0.5,0.7,58,47,4,12
Falco,0,504,0,10205,7,15.7,0.5,0.5,42,9,13,2
Fox,0,72,0,3740,0,,0,,2,1,0,0
Fox,1,405,1,6506,3.3,26.5,0.5,0.5,8,15,7,8
Fox,2,385,0,7295,14,10.5,0.4,0.1,23,21,4,3
Falco,0,653,0,2576,3,72.3,1,1,2,3,3,0
Fox,2,502,0,9422,5.7,16.6,0.4,0.5,38,28,15,2
Falco,0,459,1,10522,6,19.5,0.7,0.5,24,38,4,5
Falco,0,490,1,12269,7.5,16,0.6,0.5,29,13,6,8
Fox,0,515,1,16299,8.8,13.7,0.5,0.4,144,43,15,6
Fox,2,527,1,8751,4,26,0.8,0.5,65,6,5,3
Fox,0,589,1,10261,5,24.7,0.5,0.6,39,30,9,9
Falco,0,590,1,8777,4.5,19.4,0.5,0.6,12,29,10,4
Marth,0,413,0,9354,7,9.2,0.4,0,51,22,9,14
Falco,0,464,0,10559,8,17,0.6,0.5,50,18,3,4
Marth,2,331,0,11180,10,13.9,0.3,0.4,37,28,7,7
Fox,0,101,0,4425,0,9.4,0,0,0,0,2,0
Marth,0,363,1,5521,3.3,24.3,0.8,0.5,13,8,6,8
Falco,0,413,0,7712,5.5,18.2,0.3,0.6,22,9,3,2
Fox,2,439,1,6794,2.8,34.2,0.8,0.8,33,13,16,2
Fox,0,503,0,9285,17,10.6,0.3,0.2,54,27,4,2
Falco,1,446,0,14068,9,18.3,0.5,0.5,40,14,14,3
Falco,0,474,0,2968,4,35.3,0.8,1,21,5,1,1
Falco,0,411,1,13084,6,25.3,0.5,0.6,11,12,5,1
Fox,0,505,0,9109,7.5,16.1,0.6,0.5,68,39,4,6
Marth,2,527,1,6576,3.5,27.6,0.4,0.6,32,20,11,10
Fox,1,433,0,13373,5.3,27.9,0.3,0.7,32,25,8,4
Falco,0,543,0,6836,3,21.2,0.5,0.7,43,7,6,7
Falco,0,420,0,7070,7.5,15.6,0.5,0.5,8,4,1,5
Marth,1,462,0,6843,14,15.3,0.5,0.6,17,20,9,5
Fox,2,399,0,8608,6,19.3,0.6,0.6,0,17,13,7
Marth,0,419,1,9292,4,31.9,0.5,0.8,48,29,1,20
Marth,0,607,1,10925,4.8,17.3,0.6,0.4,43,14,18,12
Fox,2,493,1,9982,6,15.2,0.4,0.5,81,26,1,8
Fox,0,373,1,10702,6.5,17.3,0.5,0.4,25,11,7,9
Fox,0,564,0,9685,5,29.2,0.6,0.9,124,36,6,11
Fox,0,587,1,11163,5,22.8,0.5,0.5,57,11,10,5
Fox,0,566,1,8023,3.3,31.1,0.7,0.6,65,50,2,6
Fox,1,388,0,7914,4.5,16,0.3,0.3,21,18,5,5
Marth,2,99,0,4993,0,7.1,0.1,0.7,0,0,0,0
Fox,0,468,1,9532,4.5,19.2,0.5,0.6,32,25,6,11
Fox,2,310,0,1991,8,13.5,0.7,0.4,6,0,0,2
Falco,2,457,1,9420,6,16.1,0.7,0.5,2,16,4,1
Marth,2,444,1,4019,2,38.1,1,0.6,20,16,5,7
Marth,2,368,1,10841,5.3,14.4,0.4,0.4,51,33,6,12
Fox,0,613,0,9473,7.3,17.2,0.6,0.4,12,12,10,12
Falco,3,426,1,10172,5,20.9,0.6,0.7,32,23,3,2
Fox,1,420,1,7099,3.8,27,0.6,0.7,13,13,7,2
Fox,2,420,1,12241,6.8,16.9,0.4,0.4,46,25,4,5
Fox,1,392,0,10747,8,17.4,0.5,0.6,18,67,5,4
Fox,1,739,1,4957,2.5,28.8,0.7,0.7,30,20,6,4
Fox,0,380,0,7075,11,19.4,0.4,0.4,6,12,7,2
Falco,2,451,0,9094,5.7,21.3,0.5,0.5,7,11,7,3
Fox,0,544,1,3610,1.8,35.4,0.7,0.6,58,9,3,9
Jigglypuff,0,764,1,6587,2.8,33.3,0.6,0.7,1,23,3,8
Fox,2,465,0,9139,6.3,19.4,0.5,0.6,14,3,7,3
Fox,2,410,1,10655,4.5,24.7,0.4,0.6,18,7,3,15
Falco,0,478,0,10151,7.5,20.3,0.5,0.7,7,7,9,1
Falco,0,398,1,19408,12.8,4.7,0.8,0.5,43,53,2,0
Fox,1,395,1,9856,3.3,34.1,0.5,0.8,41,13,8,7
Fox,1,519,1,11335,6.3,18.2,0.7,0.4,23,14,9,13
Fox,2,462,1,16177,8.3,14,0.5,0.3,63,39,17,5
Fox,0,418,1,8773,3.8,16.9,0.4,0.4,25,12,3,2
Marth,2,420,1,8665,4.8,19.2,0.6,0.7,40,30,20,18
Jigglypuff,0,719,1,12674,5,21.6,0.6,0.4,0,53,13,16
Marth,1,330,0,5901,10,12.6,0.4,0.6,6,1,1,3
Fox,3,512,0,12420,7,15.9,0.7,0.5,109,40,3,7
Jigglypuff,0,374,0,8039,6.3,16.1,0.3,0.4,5,13,7,14
Marth,2,659,1,3792,2.5,34,0.9,0.8,28,25,2,4
Falco,0,425,0,9803,10.5,15.4,0.5,0.3,20,14,8,2
Jigglypuff,0,421,0,5689,0,0.9,1,0.6,12,7,3,18
Fox,2,422,1,10503,5.5,23.5,0.6,0.6,18,30,4,13
Fox,0,461,0,5770,13,15.1,0.5,0.7,7,8,4,6
Falco,1,557,0,13007,12,16.4,0.5,0.4,24,30,7,3
Falco,2,528,0,8513,3.7,24.4,0.3,0.5,17,6,4,0
Fox,1,535,0,39731,0,0,0.7,0.6,555,159,47,42
Falco,0,479,1,8204,5.3,24.5,1,0.4,25,54,0,0
Fox,3,474,0,4988,0,13,0.2,0.3,28,5,1,0
Fox,0,481,1,9257,4.5,18.6,0.6,0.6,38,21,18,7
Fox,2,383,0,10831,9,16.4,0.4,0.5,24,7,8,5
Falco,0,433,1,13684,5.8,24.1,0.6,0.5,24,49,11,6
Marth,0,352,0,10428,8,19.5,0.5,0.5,41,15,14,2
Falco,2,372,0,9455,5.3,14.8,0.4,0.4,19,5,10,4
Fox,0,95,0,2353,0,10,0.6,0.3,0,0,0,0
Jigglypuff,2,417,1,9577,4.5,16.8,0.4,0.4,6,12,6,14
Fox,0,398,0,11117,6.7,18.4,0.5,0.4,23,14,9,13
Fox,0,574,0,11988,9.7,16.2,0.7,0.4,63,18,12,8
Marth,2,303,1,14124,5,16.1,0.4,0.5,5,24,19,13
Fox,1,495,0,9639,7,14.3,0.4,0.3,36,28,11,3
Fox,0,470,1,10615,5.8,20.7,0.5,0.7,39,23,6,10
Marth,2,397,1,8440,3.8,29.3,0.6,0.7,18,15,4,7
